vehID FromStopID ToStopID Uhrzeit(Ist) Uhrzeit(Soll) Delay Drive_Continue
34 92 169 510 485 25 no
36 6 6 510 490 20 yes
1 102 39 510 480 30 yes
18 29 29 510 480 30 yes
81 77 6 510 485 25 yes
48 4 6 510 495 15 yes
92 29 4 510 500 10 yes
2 60 60 511 496 15 yes
64 149 150 511 491 20 yes
79 32 32 511 501 10 yes
49 51 52 513 488 25 yes
69 60 164 514 504 10 no
52 27 28 514 504 10 yes
15 4 6 515 475 40 yes
45 4 6 515 485 30 yes
10 26 113 517 492 25 yes
63 91 58 517 497 20 yes
32 58 4 517 477 40 yes
66 35 6 517 497 20 yes
68 9 9 517 502 15 yes
17 28 49 518 498 20 yes
50 16 33 518 508 10 yes
59 92 31 519 504 15 yes
94 168 54 520 515 5 yes
35 15 15 520 495 25 yes
76 12 2 520 505 15 yes
65 14 64 520 495 25 yes
61 99 82 520 495 25 yes
6 73 9 521 506 15 yes
58 66 1 521 501 20 yes
25 69 162 523 498 25 no
28 60 60 524 504 20 yes
73 62 18 524 509 15 yes
87 23 23 524 519 5 yes
89 29 29 524 504 20 yes
3 88 89 525 510 15 yes
42 89 16 526 506 20 yes
62 2 2 526 511 15 yes
79 32 43 527 517 10 yes
30 36 36 528 493 35 yes
12 16 1 529 494 35 yes
93 126 115 529 519 10 yes
50 33 33 529 509 20 yes
85 0 37 530 510 20 yes
16 4 6 530 505 25 yes
39 1 3 532 512 20 yes
31 111 20 532 497 35 yes
86 51 51 532 512 20 yes
91 0 109 532 522 10 yes
13 1 1 532 502 30 yes
11 28 55 533 508 25 yes
88 61 52 533 523 10 yes
84 96 1 534 509 25 yes
70 7 4 534 519 15 yes
87 23 47 534 529 5 yes
5 15 6 535 500 35 yes
4 5 6 535 500 35 yes
36 6 75 535 510 25 yes
29 36 9 537 517 20 yes
55 28 28 537 502 35 yes
63 58 58 537 517 20 yes
37 76 161 538 503 35 no
74 10 0 538 518 20 yes
71 1 82 539 519 20 yes
21 6 24 540 505 35 yes
68 9 156 540 520 20 yes
94 54 33 540 535 5 yes
83 58 58 542 512 30 yes
92 4 4 542 532 10 yes
10 113 113 542 507 35 yes
17 49 49 542 522 20 yes
76 2 2 543 528 15 yes
62 2 2 543 523 20 yes
33 56 51 544 514 30 yes
20 82 73 545 510 35 yes
23 33 46 545 510 35 yes
51 29 30 545 530 15 yes
18 29 4 545 515 30 yes
48 6 6 545 520 25 yes
89 29 30 545 515 30 yes
38 6 6 546 506 40 yes
35 15 62 547 517 30 yes
93 115 169 548 538 10 no
67 16 1 549 529 20 yes
81 6 29 549 519 30 yes
64 150 150 549 524 25 yes
28 60 61 549 519 30 yes
19 162 28 549 544 5 yes
80 5 5 550 545 5 yes
73 18 16 550 530 20 yes
60 19 73 551 531 20 yes
53 9 163 551 521 30 no
88 52 52 551 536 15 yes
27 4 4 553 523 30 yes
72 118 44 553 533 20 yes
15 6 6 555 510 45 yes
22 116 116 556 526 30 yes
87 47 47 557 547 10 yes
39 3 3 558 533 25 yes
92 4 6 560 540 20 yes
80 5 6 560 555 5 yes
11 55 55 561 536 25 yes
63 58 4 562 542 20 yes
19 28 27 562 552 10 yes
90 61 66 563 558 5 yes
61 82 162 563 533 30 no
13 1 31 563 533 30 yes
12 1 82 564 529 35 yes
1 39 40 565 535 30 yes
45 6 168 565 530 35 no
66 6 4 565 545 20 yes
79 43 43 565 555 10 yes
30 36 9 565 520 45 yes
82 1 9 567 552 15 yes
94 33 1 567 562 5 yes
52 28 66 568 558 10 yes
87 47 48 568 548 20 yes
56 0 1 569 549 20 yes
67 1 1 569 549 20 yes
3 89 89 570 555 15 yes
86 51 56 570 550 20 yes
70 4 6 570 555 15 yes
60 73 9 571 551 20 yes
88 52 51 572 557 15 yes
94 1 1 573 568 5 yes
