vehID;Standort;Dep/Arr;Uhrzeit(Soll);umlaufstatus(Depot/Umlauf);Uhrzeit(Ist);Spalte1;Spalte2
10;10;0;608;1;608;;
10;0;1;654;1;608;;
10;0;0;654;1;654;;
10;1;1;688;1;654;;
10;1;0;688;1;688;;
10;47;1;720;1;688;;
10;47;0;720;1;720;;
10;47;1;721;1;720;;
10;47;0;721;1;721;;
10;57;1;738;1;721;;
10;57;0;738;1;738;;
10;23;1;739;1;738;;
10;23;0;739;1;739;;
10;23;1;754;1;739;;
10;23;0;754;1;754;;
10;47;1;772;1;754;;
10;47;0;772;1;772;;
10;47;1;773;1;772;;
10;47;0;773;1;773;;
10;48;1;806;1;773;;
10;48;0;806;1;806;;
10;33;1;807;1;806;;
10;33;0;807;1;807;;
10;33;1;810;1;807;;
10;33;0;810;1;810;;
10;106;1;850;1;810;;
10;106;0;850;1;850;;
10;35;1;867;1;850;;
10;35;0;867;1;867;;
10;6;1;895;1;867;;
10;6;0;895;1;895;;
10;1;1;899;1;895;;
10;1;0;899;1;899;;
10;1;1;900;1;899;;
10;1;0;900;1;900;;
10;10;1;955;1;900;;
10;10;0;955;1;955;;
10;10;1;968;1;955;;
10;10;0;968;1;968;;
10;0;1;1014;1;968;;
10;0;0;1014;1;1014;;
10;1;1;1048;1;1014;;
10;1;0;1048;1;1048;;
10;33;1;1048;1;1048;;
10;33;0;1048;1;1048;;
10;33;1;1050;1;1048;;
10;33;0;1050;1;1050;;
10;46;1;1101;1;1050;;
10;46;0;1101;1;1101;;
10;160;1;1105;0;1101;;
11;165;0;290;1;290;;
11;20;1;290;1;290;;
11;20;0;290;1;290;;
11;21;1;307;1;290;;
11;21;0;307;1;307;;
11;111;1;307;1;307;;
11;111;0;307;1;307;;
11;111;1;308;1;307;;
11;111;0;308;1;308;;
11;20;1;325;1;308;;
11;20;0;325;1;325;;
11;27;1;353;1;325;;
11;27;0;353;1;353;;
11;27;1;354;1;353;;
11;27;0;354;1;354;;
11;28;1;398;1;354;;
11;28;0;398;1;398;;
11;55;1;401;1;398;;
11;55;0;401;1;401;;
11;55;1;404;1;401;;
11;55;0;404;1;404;;
11;4;1;445;1;404;;
11;4;0;445;1;445;;
11;6;1;445;1;445;;
11;6;0;445;1;445;;
11;6;1;450;1;445;;
11;6;0;450;1;450;;
11;100;1;469;1;450;;
11;100;0;469;1;469;;
11;69;1;489;1;469;;
11;69;0;489;1;489;;
11;69;1;497;1;489;;
11;69;0;497;1;497;;
11;70;1;532;1;497;;
11;70;0;532;1;532;;
11;56;1;548;1;532;;
11;56;0;548;1;548;;
11;56;1;549;1;548;;
11;56;0;549;1;549;;
11;51;1;566;1;549;;
11;51;0;566;1;566;;
11;51;1;568;1;566;;
11;51;0;568;1;568;;
11;52;1;608;1;568;;
11;52;0;608;1;608;;
11;69;1;612;1;608;;
11;69;0;612;1;612;;
11;69;1;617;1;612;;
11;69;0;617;1;617;;
11;70;1;652;1;617;;
11;70;0;652;1;652;;
11;104;1;654;1;652;;
11;104;0;654;1;654;;
11;104;1;660;1;654;;
11;104;0;660;1;660;;
11;69;1;698;1;660;;
11;69;0;698;1;698;;
11;78;1;706;1;698;;
11;78;0;706;1;706;;
11;72;1;748;1;706;;
11;72;0;748;1;748;;
11;85;1;748;1;748;;
11;85;0;748;1;748;;
11;61;1;792;1;748;;
11;61;0;792;1;792;;
11;49;1;802;1;792;;
11;49;0;802;1;802;;
11;49;1;803;1;802;;
11;49;0;803;1;803;;
11;59;1;843;1;803;;
11;59;0;843;1;843;;
11;32;1;844;1;843;;
11;32;0;844;1;844;;
11;32;1;868;1;844;;
11;32;0;868;1;868;;
11;28;1;904;1;868;;
11;28;0;904;1;904;;
11;28;1;917;1;904;;
11;28;0;917;1;917;;
11;27;1;954;1;917;;
11;27;0;954;1;954;;
11;28;1;998;1;954;;
11;28;0;998;1;998;;
11;28;1;1018;1;998;;
11;28;0;1018;1;1018;;
11;59;1;1053;1;1018;;
11;59;0;1053;1;1053;;
11;32;1;1054;1;1053;;
11;32;0;1054;1;1054;;
11;32;1;1077;1;1054;;
11;32;0;1077;1;1077;;
11;43;1;1105;1;1077;;
11;43;0;1105;1;1105;;
11;51;1;1105;1;1105;;
11;51;0;1105;1;1105;;
11;51;1;1108;1;1105;;
11;51;0;1108;1;1108;;
11;52;1;1148;1;1108;;
11;52;0;1148;1;1148;;
11;28;1;1152;1;1148;;
11;28;0;1152;1;1152;;
11;28;1;1157;1;1152;;
11;28;0;1157;1;1157;;
11;140;1;1189;1;1157;;
11;140;0;1189;1;1189;;
11;165;1;1211;0;1189;;
12;168;0;290;1;290;;
12;135;1;295;1;290;;
12;135;0;295;1;295;;
12;4;1;323;1;295;;
12;4;0;323;1;323;;
12;4;1;330;1;323;;
12;4;0;330;1;330;;
12;15;1;359;1;330;;
12;15;0;359;1;359;;
12;15;1;360;1;359;;
12;15;0;360;1;360;;
12;16;1;404;1;360;;
12;16;0;404;1;404;;
12;1;1;404;1;404;;
12;1;0;404;1;404;;
12;82;1;460;1;404;;
12;82;0;460;1;460;;
12;66;1;460;1;460;;
12;66;0;460;1;460;;
12;66;1;461;1;460;;
12;66;0;461;1;461;;
12;1;1;517;1;461;;
12;1;0;517;1;517;;
12;4;1;521;1;517;;
12;4;0;521;1;521;;
12;4;1;525;1;521;;
12;4;0;525;1;525;;
12;6;1;554;1;525;;
12;6;0;554;1;554;;
12;6;1;555;1;554;;
12;6;0;555;1;555;;
12;42;1;574;1;555;;
12;42;0;574;1;650;;
12;29;1;594;1;650;;
12;29;0;594;1;670;;
12;6;1;595;1;670;;
12;6;0;595;1;671;;
12;6;1;599;1;671;;
12;6;0;599;1;675;;
12;42;1;618;1;675;;
12;42;0;618;1;694;;
12;168;1;636;0;694;;
12;168;0;726;1;726;;
12;33;1;738;1;726;;
12;33;0;738;1;738;;
12;34;1;760;1;738;;
12;34;0;760;1;760;;
12;54;1;760;1;760;;
12;54;0;760;1;760;;
