vehID Teilumlaufnummer Standort Dep/Arr Uhrzeit(Soll) Uhrzeit(Ist) Fahrtverspätung Gesamtverspätung
69 1 78 2 422 432 / 10
31 1 111 2 432 432 0 0
31 1 111 0 432 432 / 0
63 1 29 1 404 432 10 28
63 1 29 2 404 432 / 28
69 1 78 2 424 432 0 8
69 1 78 0 424 432 / 8
63 1 29 2 405 432 0 27
63 1 29 0 405 432 / 27
18 1 6 1 385 433 10 48
18 1 6 0 385 433 / 48
42 1 156 1 418 433 5 15
42 1 156 0 418 433 / 15
41 1 75 1 403 433 10 30
41 1 75 2 403 433 / 30
41 1 75 2 404 433 0 29
41 1 75 0 404 433 / 29
43 1 1 1 415 435 10 20
43 1 1 0 415 435 / 20
46 1 29 1 415 435 10 20
46 1 29 0 415 435 / 20
62 1 6 1 415 435 10 20
62 1 6 0 415 435 / 20
68 1 4 1 415 435 10 20
68 1 4 0 415 435 / 20
24 1 0 1 431 436 5 5
24 1 0 0 431 436 / 5
12 1 1 1 404 436 10 32
12 1 1 0 404 436 / 32
6 1 73 1 394 438 5 44
6 1 73 2 394 438 / 44
18 1 29 1 385 438 5 53
18 1 29 2 385 438 / 53
6 1 73 2 401 438 0 37
6 1 73 0 401 438 / 37
18 1 29 2 390 438 0 48
18 1 29 0 390 438 / 48
87 1 168 0 440 440 / 0
67 1 16 1 425 440 5 15
67 1 16 0 425 440 / 15
38 1 29 1 400 440 10 40
38 1 29 0 400 440 / 40
74 1 123 1 420 440 10 20
74 1 123 0 420 440 / 20
86 1 60 1 430 440 10 10
86 1 60 0 430 440 / 10
61 1 60 1 426 441 5 15
61 1 60 2 426 441 / 15
11 1 28 1 398 441 10 43
11 1 28 0 398 441 / 43
30 1 129 1 423 441 10 18
30 1 129 0 423 441 / 18
33 1 56 1 411 441 10 30
33 1 56 2 411 441 / 30
61 1 60 2 430 441 0 11
61 1 60 0 430 441 / 11
33 1 56 2 429 441 0 12
33 1 56 0 429 441 / 12
45 1 6 1 890 442 5 12
45 1 6 0 890 442 / 12
66 1 4 1 418 443 10 25
66 1 4 2 418 443 / 25
53 1 148 1 418 443 5 25
53 1 148 2 418 443 / 25
66 1 4 2 420 443 0 23
66 1 4 0 420 443 / 23
46 1 33 1 419 444 5 25
46 1 33 2 419 444 / 25
46 1 33 2 420 444 0 24
46 1 33 0 420 444 / 24
50 1 17 1 429 445 10 16
50 1 17 2 429 445 / 16
81 1 4 1 430 445 5 15
81 1 4 2 430 445 / 15
43 1 88 1 415 445 10 30
43 1 88 0 415 445 / 30
50 1 17 2 435 445 0 10
50 1 17 0 435 445 / 10
81 1 4 2 435 445 0 10
81 1 4 0 435 445 / 10
55 1 52 1 428 446 5 18
55 1 52 0 428 446 / 18
8 1 166 1 416 446 10 30
68 1 29 1 416 446 10 30
68 1 29 2 416 446 / 30
67 1 88 1 426 446 5 20
67 1 88 2 426 446 / 20
30 1 36 1 423 446 5 23
30 1 36 2 423 446 / 23
68 1 29 2 420 446 0 26
68 1 29 0 420 446 / 26
67 1 88 2 430 446 0 16
67 1 88 0 430 446 / 16
30 1 36 2 425 446 0 21
30 1 36 0 425 446 / 21
48 1 6 1 415 447 10 32
48 1 6 0 415 447 / 32
15 1 90 1 408 447 5 39
15 1 90 2 408 447 / 39
15 1 90 2 413 447 0 34
15 1 90 0 413 447 / 34
35 1 15 1 425 448 5 23
35 1 15 2 425 448 / 23
29 1 2 1 425 448 5 23
29 1 2 0 425 448 / 23
27 1 12 1 405 448 5 43
27 1 12 0 405 448 / 43
