vehID Standort Uhrzeit(Soll) Uhrzeit(Ist) Fahrtverspätung Gesamtverspätung
36 35 417 425 0 8
36 35 417 425 0 8
52 49 425 425 0 0
52 49 425 425 0 0
68 29 416 426 0 10
68 29 416 426 0 10
68 29 420 426 0 6
68 29 420 426 0 6
79 32 413 428 10 15
79 32 413 428 0 15
42 156 418 428 10 10
42 156 418 428 0 10
79 32 421 428 0 7
79 32 421 428 0 7
65 64 409 429 10 20
65 64 409 429 0 20
50 17 429 429 0 0
50 17 429 429 0 0
33 56 429 429 0 0
33 56 429 429 0 0
43 1 415 430 5 15
43 1 415 430 0 15
51 10 415 430 5 15
51 10 415 430 0 15
62 6 415 430 10 15
62 6 415 430 0 15
59 37 430 430 0 0
59 37 430 430 0 0
74 123 420 430 0 10
74 123 420 430 0 10
86 60 430 430 0 0
86 60 430 430 0 0
43 88 415 430 0 15
43 88 415 430 0 15
11 28 398 431 0 33
11 28 398 431 0 33
18 4 413 431 5 18
18 4 413 431 0 18
18 4 420 431 0 11
18 4 420 431 0 11
45 4 865 432 10 27
45 4 865 432 0 27
1 39 405 432 5 27
1 39 405 432 0 27
31 111 432 432 0 0
31 111 432 432 0 0
63 29 404 432 10 28
63 29 404 432 0 28
45 4 870 432 0 22
45 4 870 432 0 22
63 29 405 432 0 27
63 29 405 432 0 27
27 6 425 433 5 8
27 6 425 433 0 8
53 148 418 433 5 15
53 148 418 433 0 15
4 135 430 434 0 4
4 135 430 434 0 4
11 55 401 434 0 33
11 55 401 434 0 33
27 4 426 434 0 8
27 4 426 434 0 8
11 55 404 434 0 30
11 55 404 434 0 30
27 4 430 434 0 4
27 4 430 434 0 4
50 17 435 435 0 0
50 17 435 435 0 0
48 3 429 436 5 7
48 3 429 436 0 7
48 3 434 436 0 2
48 3 434 436 0 2
23 33 437 437 0 0
23 33 437 437 0 0
44 28 428 438 0 10
44 28 428 438 0 10
42 89 428 438 0 10
42 89 428 438 0 10
21 4 415 439 10 24
21 4 415 439 0 24
87 168 440 440 0 0
57 109 420 440 10 20
57 109 420 440 0 20
67 16 425 440 5 15
67 16 425 440 0 15
38 29 400 440 10 40
38 29 400 440 0 40
15 19 431 440 0 9
15 19 431 440 0 9
65 13 410 440 10 30
65 13 410 440 0 30
15 73 431 440 0 9
15 73 431 440 0 9
61 60 426 441 5 15
61 60 426 441 0 15
24 0 431 441 10 10
24 0 431 441 0 10
76 16 436 441 0 5
76 16 436 441 0 5
30 129 423 441 10 18
30 129 423 441 0 18
61 60 430 441 0 11
61 60 430 441 0 11
59 92 442 442 0 0
59 92 442 442 0 0
62 2 428 443 0 15
62 2 428 443 0 15
62 2 438 443 0 5
62 2 438 443 0 5
64 6 434 444 5 10
64 6 434 444 0 10
49 51 445 445 0 0
49 51 445 445 0 0
40 121 427 445 0 18
40 121 427 445 0 18
81 4 430 445 5 15
81 4 430 445 0 15
32 58 427 445 5 18
32 58 427 445 0 18
81 4 435 445 0 10
81 4 435 445 0 10
32 58 432 445 0 13
32 58 432 445 0 13
13 9 441 446 5 5
13 9 441 446 0 5
42 89 446 446 0 0
42 89 446 446 0 0
67 88 426 446 5 20
67 88 426 446 0 20
30 36 423 446 5 23
30 36 423 446 0 23
67 88 430 446 0 16
67 88 430 446 0 16
30 36 425 446 0 21
30 36 425 446 0 21
14 48 420 447 10 27
14 48 420 447 0 27
72 4 445 447 0 2
72 4 445 447 0 2
44 49 432 447 5 15
44 49 432 447 0 15
35 15 425 448 10 23
35 15 425 448 0 23
66 4 418 448 10 30
66 4 418 448 0 30
29 2 425 448 10 23
29 2 425 448 0 23
49 51 448 448 0 0
49 51 448 448 0 0
72 29 446 448 0 2
72 29 446 448 0 2
35 15 427 448 0 21
35 15 427 448 0 21
66 4 420 448 0 28
66 4 420 448 0 28
56 10 439 449 0 10
56 10 439 449 0 10
54 16 449 449 0 0
54 16 449 449 0 0
5 15 425 449 0 24
5 15 425 449 0 24
31 20 444 449 5 5
31 20 444 449 0 5
48 4 447 449 0 2
48 4 447 449 0 2
21 6 415 449 10 34
21 6 415 449 0 34
5 15 435 449 0 14
5 15 435 449 0 14
31 20 447 449 0 2
31 20 447 449 0 2
21 6 420 449 0 29
21 6 420 449 0 29
88 164 450 450 0 0
46 118 450 450 0 0
46 118 450 450 0 0
23 33 450 450 0 0
23 33 450 450 0 0
72 29 450 450 0 0
72 29 450 450 0 0
48 4 450 450 0 0
48 4 450 450 0 0
73 46 441 451 10 10
73 46 441 451 0 10
18 6 440 451 0 11
18 6 440 451 0 11
38 6 401 451 10 50
38 6 401 451 0 50
38 6 405 451 0 46
38 6 405 451 0 46
3 16 449 452 0 3
3 16 449 452 0 3
79 43 445 452 0 7
79 43 445 452 0 7
79 43 450 452 0 2
79 43 450 452 0 2
89 168 453 453 0 0
20 82 425 453 5 28
20 82 425 453 0 28
36 6 445 453 0 8
36 6 445 453 0 8
56 10 453 453 0 0
56 10 453 453 0 0
36 6 450 453 0 3
36 6 450 453 0 3
59 92 454 454 0 0
59 92 454 454 0 0
64 29 434 454 10 20
64 29 434 454 0 20
64 29 435 454 0 19
64 29 435 454 0 19
28 60 444 455 5 11
28 60 444 455 0 11
80 6 445 455 5 10
80 6 445 455 0 10
10 1 441 455 0 14
10 1 441 455 0 14
76 4 440 455 10 15
76 4 440 455 0 15
28 60 449 455 0 6
28 60 449 455 0 6
80 6 450 455 0 5
80 6 450 455 0 5
76 4 450 455 0 5
76 4 450 455 0 5
82 10 775 456 0 4
82 10 775 456 0 4
55 52 428 456 10 28
55 52 428 456 0 28
34 92 440 456 0 16
34 92 440 456 0 16
33 51 446 456 10 10
33 51 446 456 0 10
62 63 446 456 5 10
62 63 446 456 0 10
33 51 450 456 0 6
33 51 450 456 0 6
62 63 448 456 0 8
62 63 448 456 0 8
45 6 890 457 5 27
45 6 890 457 0 27
13 1 442 457 10 15
13 1 442 457 0 15
13 1 443 457 0 14
13 1 443 457 0 14
37 76 453 458 5 5
37 76 453 458 0 5
68 4 442 458 10 16
68 4 442 458 0 16
81 77 448 458 0 10
81 77 448 458 0 10
3 88 450 458 5 8
3 88 450 458 0 8
81 77 450 458 0 8
81 77 450 458 0 8
70 4 445 459 10 14
70 4 445 459 0 14
41 4 430 459 10 29
41 4 430 459 0 29
85 132 449 459 5 10
85 132 449 459 0 10
27 65 450 459 5 9
27 65 450 459 0 9
63 30 433 460 0 27
63 30 433 460 0 27
10 25 441 460 5 19
10 25 441 460 0 19
3 88 460 460 0 0
3 88 460 460 0 0
10 25 445 460 0 15
10 25 445 460 0 15
51 46 436 461 10 25
51 46 436 461 0 25
18 29 440 461 10 21
18 29 440 461 0 21
63 6 434 461 0 27
63 6 434 461 0 27
51 46 445 461 0 16
51 46 445 461 0 16
18 29 450 461 0 11
18 29 450 461 0 11
63 6 435 461 0 26
63 6 435 461 0 26
25 69 458 462 0 4
25 69 458 462 0 4
74 10 442 462 10 20
74 10 442 462 0 20
27 65 462 462 0 0
27 65 462 462 0 0
40 23 446 464 0 18
40 23 446 464 0 18
62 2 456 464 0 8
62 2 456 464 0 8
70 6 445 464 5 19
70 6 445 464 0 19
40 23 454 464 0 10
40 23 454 464 0 10
62 2 458 464 0 6
62 2 458 464 0 6
83 33 460 465 5 5
83 33 460 465 0 5
52 59 465 465 0 0
52 59 465 465 0 0
43 89 440 465 10 25
43 89 440 465 0 25
53 148 465 465 0 0
53 148 465 465 0 0
87 44 460 465 5 5
87 44 460 465 0 5
88 60 455 465 10 10
88 60 455 465 0 10
64 149 446 465 0 19
64 149 446 465 0 19
82 96 775 466 10 14
82 96 775 466 0 14
1 40 430 467 10 37
1 40 430 467 0 37
82 96 790 467 0 0
82 96 790 467 0 0
66 12 435 468 5 33
66 12 435 468 0 33
73 68 453 468 5 15
73 68 453 468 0 15
68 9 447 468 5 21
68 9 447 468 0 21
68 9 455 468 0 13
68 9 455 468 0 13
17 28 458 469 10 11
17 28 458 469 0 11
60 82 445 470 5 25
60 82 445 470 0 25
75 19 468 470 0 2
75 19 468 470 0 2
55 28 432 470 10 38
55 28 432 470 0 38
73 68 470 470 0 0
73 68 470 470 0 0
60 66 445 470 0 25
60 66 445 470 0 25
55 28 437 470 0 33
55 28 437 470 0 33
60 66 448 470 0 22
60 66 448 470 0 22
31 21 459 471 10 12
31 21 459 471 0 12
26 29 445 472 10 27
26 29 445 472 0 27
50 18 462 472 10 10
50 18 462 472 0 10
29 36 444 472 5 28
29 36 444 472 0 28
50 18 468 472 0 4
50 18 468 472 0 4
29 36 472 472 0 0
29 36 472 472 0 0
