vehID Standort Dep/Arr Uhrzeit(Ist) Status(Depot/Umlauf)
62 2 0 428 1
42 89 1 428 1
42 89 0 428 1
50 17 1 429 1
50 17 0 429 1
33 56 1 429 1
33 56 0 429 1
48 3 1 429 1
48 3 0 429 1
59 37 1 430 1
59 37 0 430 1
41 4 1 430 1
41 4 0 430 1
1 40 1 430 1
1 40 0 430 1
78 160 1 430 0
81 4 1 430 1
81 4 0 430 1
45 6 1 430 1
45 6 0 430 1
4 135 1 430 1
4 135 0 430 1
86 60 1 430 1
86 60 0 430 1
61 60 1 430 1
61 60 0 430 1
67 88 1 430 1
67 88 0 430 1
27 4 1 430 1
27 4 0 430 1
1 102 1 430 1
1 102 0 430 1
24 0 1 431 1
24 0 0 431 1
15 19 1 431 1
15 19 0 431 1
15 73 1 431 1
15 73 0 431 1
31 111 1 432 1
31 111 0 432 1
14 163 1 432 0
32 58 1 432 1
32 58 0 432 1
44 49 1 432 1
44 49 0 432 1
55 28 1 432 1
55 28 0 432 1
63 30 1 433 1
63 30 0 433 1
64 6 1 434 1
64 6 0 434 1
48 3 1 434 1
48 3 0 434 1
63 6 1 434 1
63 6 0 434 1
64 29 1 434 1
64 29 0 434 1
66 12 1 435 1
66 12 0 435 1
5 15 1 435 1
5 15 0 435 1
50 17 1 435 1
50 17 0 435 1
81 4 1 435 1
81 4 0 435 1
63 6 1 435 1
63 6 0 435 1
64 29 1 435 1
64 29 0 435 1
76 16 1 436 1
76 16 0 436 1
51 46 1 436 1
51 46 0 436 1
57 163 1 436 0
23 33 1 437 1
23 33 0 437 1
55 28 1 437 1
55 28 0 437 1
65 14 1 438 1
65 14 0 438 1
62 2 1 438 1
62 2 0 438 1
56 10 1 439 1
56 10 0 439 1
87 168 0 440 1
34 92 1 440 1
34 92 0 440 1
43 89 1 440 1
43 89 0 440 1
18 6 1 440 1
18 6 0 440 1
38 45 1 440 1
38 45 0 440 1
76 4 1 440 1
76 4 0 440 1
65 14 1 440 1
65 14 0 440 1
18 29 1 440 1
18 29 0 440 1
73 46 1 441 1
73 46 0 441 1
10 1 1 441 1
10 1 0 441 1
13 9 1 441 1
13 9 0 441 1
66 35 1 441 1
66 35 0 441 1
10 25 1 441 1
10 25 0 441 1
74 10 1 442 1
74 10 0 442 1
68 4 1 442 1
68 4 0 442 1
59 92 1 442 1
59 92 0 442 1
45 168 1 442 0
13 1 1 442 1
